filter,n,etf,stock_r20,etf_r20,alpha,win_pct,p_value
baseline (buy_70_85+SELL_v6≤30),61058,sh000001,4.770821764740344,2.1521832631561097,2.618638501584233,53.938877788332405,0.0
baseline (buy_70_85+SELL_v6≤30),61058,sh000300,4.770821764740344,1.5688548863451461,3.201966878395197,58.15126600936814,0.0
baseline (buy_70_85+SELL_v6≤30),61058,sh000905,4.770821764740344,5.937507707815548,-1.1666859430752041,37.20724556978611,7.44253104685274e-89
baseline (buy_70_85+SELL_v6≤30),61058,sh000852,4.770821764740344,4.012809007781082,0.7580127569592605,44.644436437485666,5.893069792760208e-40
baseline (buy_70_85+SELL_v6≤30),61058,sz399006,4.770821764740344,4.8456308258554674,-0.07480906111512423,48.742179566969114,0.24377156555228507
baseline (buy_70_85+SELL_v6≤30),61058,sz399303,4.770821764740344,4.169425900880049,0.6013958638602941,43.845196370663956,7.963673918510003e-26
mfk_gold (cross=+1),29521,sh000001,4.502724594673094,2.105354158267685,2.3973704364054096,52.96907286338539,2.234216076596343e-275
mfk_gold (cross=+1),29521,sh000300,4.502724594673094,1.5181676225971632,2.9845569720759313,57.294807086480816,0.0
mfk_gold (cross=+1),29521,sh000905,4.502724594673094,5.862394978934354,-1.3596703842612599,36.63832525998442,4.435839830582776e-86
mfk_gold (cross=+1),29521,sh000852,4.502724594673094,3.910249723256768,0.5924748714163258,44.090647335794856,1.270316972767152e-18
mfk_gold (cross=+1),29521,sz399006,4.502724594673094,4.702038637299004,-0.19931404262590974,48.54849090477965,0.011733051240689558
mfk_gold (cross=+1),29521,sz399303,4.502724594673094,4.060054687090388,0.44266990758270597,43.379289319467496,4.455691237717162e-11
mfk_strong_cross,28122,sh000001,4.472935654982395,2.0980599284593895,2.3748757265230056,52.86963942820567,4.6511899826340335e-256
mfk_strong_cross,28122,sh000300,4.472935654982395,1.518286795455728,2.954648859526667,57.211435886494556,0.0
mfk_strong_cross,28122,sh000905,4.472935654982395,5.841213042465302,-1.368277387482907,36.54078657278998,1.1569938725201202e-82
mfk_strong_cross,28122,sh000852,4.472935654982395,3.890379332067387,0.5825563229150071,43.99758196429842,3.510561975250304e-17
mfk_strong_cross,28122,sz399006,4.472935654982395,4.706308035511802,-0.23337238052940754,48.43183272882441,0.004028640568659217
mfk_strong_cross,28122,sz399303,4.472935654982395,4.0380576716390575,0.43487798334333766,43.275727188677905,3.0378586684369736e-10
low_pyramid (机构占比 < 0.45),50177,sh000001,5.0298120659537595,2.209113426701374,2.8206986392523845,55.455686868485564,0.0
low_pyramid (机构占比 < 0.45),50177,sh000300,5.0298120659537595,1.5422842461979038,3.487527819755855,60.01355202582857,0.0
low_pyramid (机构占比 < 0.45),50177,sh000905,5.0298120659537595,6.0037565512564175,-0.9739444853026586,38.11507264284433,7.89668617782708e-49
low_pyramid (机构占比 < 0.45),50177,sh000852,5.0298120659537595,4.11817969741341,0.9116323685403491,45.43914542519481,1.8111800286332714e-44
low_pyramid (机构占比 < 0.45),50177,sz399006,5.0298120659537595,4.660571253885151,0.3692408120686077,50.66464714909221,3.3151207307054925e-07
low_pyramid (机构占比 < 0.45),50177,sz399303,5.0298120659537595,4.30735364744776,0.7224584185059992,44.45463060764892,1.2098371322568172e-28
high_macd_hist,28849,sh000001,4.495628562531616,2.121121780068622,2.374506782462994,52.79212451038164,3.9965481494872705e-266
high_macd_hist,28849,sh000300,4.495628562531616,1.5494768070712341,2.946151755460381,57.23248639467573,0.0
high_macd_hist,28849,sh000905,4.495628562531616,5.833395900540561,-1.3377673380089452,36.704911782037506,1.267962828824484e-81
high_macd_hist,28849,sh000852,4.495628562531616,3.919185715943225,0.5764428465883905,43.85940587195397,2.1245697381898295e-17
high_macd_hist,28849,sz399006,4.495628562531616,4.7634674236544585,-0.2678388611228426,48.11258622482582,0.0007942868502628226
high_macd_hist,28849,sz399303,4.495628562531616,4.061523042163251,0.43410552036836475,43.25626538181566,1.571488858890424e-10
bull_regime (mkt 60d>0),53273,sh000001,4.673778470283898,2.361812993834827,2.3119654764490707,52.03010906087512,1.2660631397205137e-299
bull_regime (mkt 60d>0),53273,sh000300,4.673778470283898,1.8873382505714311,2.786440219712467,55.92514031498133,0.0
bull_regime (mkt 60d>0),53273,sh000905,4.673778470283898,6.458321096953701,-1.7845426266698023,34.197435849304526,5.528722130402518e-173
bull_regime (mkt 60d>0),53273,sh000852,4.673778470283898,4.319195354487088,0.35458311579680946,42.411728267602726,1.3258453469212264e-08
bull_regime (mkt 60d>0),53273,sz399006,4.673778470283898,5.497730911741915,-0.8239524414580166,46.060856343738855,6.77823512909887e-32
bull_regime (mkt 60d>0),53273,sz399303,4.673778470283898,4.368885521170076,0.3048929491138231,42.34790606874026,1.0373230586827522e-06
main_inflow (main_net_5d>0),19781,sh000001,4.371869973689592,1.9862526680307635,2.3856173056588292,53.298619887771096,5.84352148621905e-198
main_inflow (main_net_5d>0),19781,sh000300,4.371869973689592,1.4356351305527286,2.936234843136864,57.57039583438653,4.1454624095251864e-274
main_inflow (main_net_5d>0),19781,sh000905,4.371869973689592,5.681193689412809,-1.3093237157232163,37.50568727566857,1.085916822027921e-57
main_inflow (main_net_5d>0),19781,sh000852,4.371869973689592,3.705140025588349,0.6667299481012438,45.06850007583034,4.2316847007403737e-17
main_inflow (main_net_5d>0),19781,sz399006,4.371869973689592,4.559509556899974,-0.18763958321038196,49.229058187149285,0.046343120543497124
main_inflow (main_net_5d>0),19781,sz399303,4.371869973689592,3.8618093831270848,0.5100605905625076,44.310196653354225,1.1854651021988e-10
no_extreme_event,49457,sh000001,4.988880396099821,2.22487280892494,2.764007587174881,55.36931071435792,0.0
no_extreme_event,49457,sh000300,4.988880396099821,1.5573204827071676,3.4315599133926535,60.003639525244154,0.0
no_extreme_event,49457,sh000905,4.988880396099821,6.07857689619702,-1.089696500097198,37.77625007582344,1.0595991967389342e-60
no_extreme_event,49457,sh000852,4.988880396099821,4.153168956564582,0.8357114395352389,45.49810946883151,1.0136498330228553e-37
no_extreme_event,49457,sz399006,4.988880396099821,4.71381436792634,0.27506602817348097,50.565137392077965,0.00014491214638866063
no_extreme_event,49457,sz399303,4.988880396099821,4.330329828798285,0.6585505673015359,44.59025011626262,4.008576371114138e-24
mfk_gold + bull_regime,25870,sh000001,4.427439271625492,2.297974237622817,2.129465034002674,51.3838422883649,1.0748385177327853e-195
mfk_gold + bull_regime,25870,sh000300,4.427439271625492,1.8167860939265192,2.6106531776989725,55.36142249710089,1.5791791257394714e-269
mfk_gold + bull_regime,25870,sh000905,4.427439271625492,6.338203297931078,-1.9107640263055876,34.06262079628914,4.2380977807291226e-149
mfk_gold + bull_regime,25870,sh000852,4.427439271625492,4.176828809604257,0.25061046202123444,42.303826826439895,0.0004343028663385776
mfk_gold + bull_regime,25870,sz399006,4.427439271625492,5.299096913925856,-0.8716576423003654,46.26981059141863,8.163463877735362e-25
mfk_gold + bull_regime,25870,sz399303,4.427439271625492,4.219172892836426,0.20826637878906648,42.29223038268265,0.0034831932470207904
mfk_gold + low_pyramid,24838,sh000001,4.726717473809129,2.1710612320278697,2.555656241781259,54.09453257106047,3.6418363371591446e-260
mfk_gold + low_pyramid,24838,sh000300,4.726717473809129,1.541828290311222,3.1848891834979067,58.66414365085756,0.0
mfk_gold + low_pyramid,24838,sh000905,4.726717473809129,5.9468637761022265,-1.220146302293097,37.2292455109107,3.5086562124853634e-58
mfk_gold + low_pyramid,24838,sh000852,4.726717473809129,4.011263603384715,0.7154538704244138,44.6332232868991,3.083884262689123e-22
mfk_gold + low_pyramid,24838,sz399006,4.726717473809129,4.6843931175046105,0.04232435630451805,49.85506079394476,0.6248022686611399
mfk_gold + low_pyramid,24838,sz399303,4.726717473809129,4.1792664147098755,0.547451059099253,43.743457605282224,1.0647043312998553e-13
mfk_gold + main_inflow,16971,sh000001,4.371045267274583,1.9681771028894228,2.40286816438516,53.18484473513641,1.4957782740115974e-168
mfk_gold + main_inflow,16971,sh000300,4.371045267274583,1.42448713241235,2.946558134862233,57.39202168404927,3.693180349595741e-232
mfk_gold + main_inflow,16971,sh000905,4.371045267274583,5.664038711899492,-1.2929934446249085,37.458016616581226,1.5601985793352031e-47
mfk_gold + main_inflow,16971,sh000852,4.371045267274583,3.708142257818058,0.6629030094565251,44.91780095456956,1.994521637665478e-14
mfk_gold + main_inflow,16971,sz399006,4.371045267274583,4.61284393584537,-0.24179866857078627,48.918743739320014,0.01852420219682159
mfk_gold + main_inflow,16971,sz399303,4.371045267274583,3.876060930295878,0.49498433697870525,44.110541511991045,1.0473931032581641e-08
low_pyramid + bull_regime,43401,sh000001,4.958910745158758,2.4385633988113016,2.5203473463474557,53.50337549826041,1.649686181840854e-269
low_pyramid + bull_regime,43401,sh000300,4.958910745158758,1.8709761214300753,3.0879346237286813,57.82124835833275,0.0
low_pyramid + bull_regime,43401,sh000905,4.958910745158758,6.585991272081699,-1.6270805269229427,34.84021105504481,5.679308976785651e-110
low_pyramid + bull_regime,43401,sh000852,4.958910745158758,4.469148149884701,0.4897625952740567,43.01283380567268,8.40727671531905e-12
low_pyramid + bull_regime,43401,sz399006,4.958910745158758,5.32516442864109,-0.36625368348233206,47.971244902191195,4.402658034644729e-06
low_pyramid + bull_regime,43401,sz399303,4.958910745158758,4.549348949469955,0.4095617956888023,42.79855302873206,1.1077395819373368e-08
全套 (gold + low_pyr + bull),21647,sh000001,4.682454982810243,2.37832379373166,2.304131189078584,52.43220769621657,1.485050735615228e-187
全套 (gold + low_pyr + bull),21647,sh000300,4.682454982810243,1.8503549419662528,2.832100040843991,56.70993671178455,2.446505104789708e-259
全套 (gold + low_pyr + bull),21647,sh000905,4.682454982810243,6.464957794164528,-1.7825028113542847,34.47128932415578,1.0902670253383437e-106
全套 (gold + low_pyr + bull),21647,sh000852,4.682454982810243,4.307248627356738,0.3752063554535057,42.675659444726755,1.8838103512999454e-06
全套 (gold + low_pyr + bull),21647,sz399006,4.682454982810243,5.29928062323386,-0.6168256404236161,47.553933570471656,3.9665244363848386e-11
全套 (gold + low_pyr + bull),21647,sz399303,4.682454982810243,4.36582006627713,0.3166349165331142,42.55555042269137,5.792370137657479e-05
